created_at,full_text,url,user/location,user_id_str
Fri Nov 24 23:18:07 +0000 2023,"Yeah, why doesn’t Biden do what Reagan did to free American hostages? Give Iran a few hundred TOW missiles. https://t.co/MISbetRv5m",https://twitter.com/FluteMagician/status/1728191292772139195,"Nafo Bay, Bermuda Triangle",1653488849643884557
Fri Nov 24 22:30:24 +0000 2023,"Brendon O'Connell- Iran is False Opposition  

https://t.co/F8V6AMWaGo

 WEF Member, Iranian President [Hassan] Rouhani (2013-2021) ""a Rothschild stooge. Bought and paid for."" https://t.co/w2NoBKVOTU",https://twitter.com/HenryMakow/status/1728179287654580648,Winnipeg,477864155
Fri Nov 24 23:25:36 +0000 2023,"Iran’s regime executes political prisoner #MiladZohrehvand over nationwide protests.
With executions Khamenei exposes both the brutality of the regime and its fear of the volcano of popular anger. However, these crimes only make the will of the people and the rebellious youth… https://t.co/vjzZvsT5iY",https://twitter.com/FarNam100/status/1728193179667530146,U.S.A,1086624836091297793
Fri Nov 24 23:19:29 +0000 2023,"Do you see this picture?

I will tell you their story briefly.

This is a Syrian family that was arrested by the Assad regime, supported by Russia and Iran, more than 10 years ago.

Even today their fate is unknown. Can you imagine the atrocities that Syrians are being subjected… https://t.co/ZPMragV2SU",https://twitter.com/FARED_ALHOR/status/1728191639405879725,Syria,1062710517821857794
Fri Nov 24 23:07:06 +0000 2023,"#VahidAfkari , brother of #NavidAfkari who was executed in 2020 by the Islamic regime in Iran, has been in solitary confinement for “1176 DAYS”.

His crime?
Being a protester and brother of Navid Afkari.

@UN @UNWatch , your silence endorses the regime’s crimes.
Do you hear us?… https://t.co/OBWTDlauaR",https://twitter.com/alireigns1011/status/1728188520789926078,مزار ژینا ,1364291608896827394
Fri Nov 24 23:56:05 +0000 2023,"@roaming_rn @helen44767171 Biden-Harris, not bothered abt American hostages

Goal is to enrich Iran &amp; terror cell proxies. BHO’B/Biden sold/selling out America to Iran &amp; China, long term agenda

B surprise, number of pro Iranians in America’s fed agencies &amp; institutions, including John Kerry climate czar https://t.co/pSrXAi5bKY",https://twitter.com/Aine_Dragon_/status/1728200850068369522,United States,1605396338895556608
Fri Nov 24 23:26:10 +0000 2023,Iran? What?!?! https://t.co/6odhZYWL17,https://twitter.com/hydlberg/status/1728193318331527502,Oregon,1528320313
Fri Nov 24 22:58:22 +0000 2023,"Strongly recommend you reconsider.

You are strengthening your alliance with a state sponsor of Hamas, ISIS and Iran. 

Supporting the Erdogan regime means making this world more dangerous than it was yesterday.",https://twitter.com/JSchanzer/status/1728186325726347733,"Desk, plane, trail, or slope.",231653036
Fri Nov 24 22:58:07 +0000 2023,"Westerners automatically accuse Israel of detaining children under 18 when there’s documented evidence of attempted murder. Meanwhile, the same westerners are utterly silent when children in Iran are detained — and then executed!",https://twitter.com/strxwmxn/status/1728186259343049102,ישראל / US,1111993528719237120
Fri Nov 24 23:19:27 +0000 2023,"How many “great leaders” of history really managed to make a long lasting impact on their country…

Napoleon? 
No.

Alexander The Great?
No.

Genghis Khan?
No.

Hitler?
No.

The speed at which you take power is what moves you forward. 

Iran could have taken everything at once…",https://twitter.com/IranSpec/status/1728191629595644296,Islamic Republic of Iran,1594166722655051776
