created_at,full_text,url,user/location,user_id_str
Sun May 24 23:30:17 +0000 2020,me if i went to school in iran https://t.co/nlWpfrVeT3,https://twitter.com/arshwrld/status/1264700274935042050,she/her,1088637321644331009
Sun May 24 22:29:45 +0000 2020,The enemies misinterpret the Islamic Republic’s idea of “eliminating Israel”. Eliminating Israel does not mean eliminating Jewish people. We are not #Antisemitic; Jews live in peace in Iran. Eliminating Israel represents elimination of the imposed Zionist regime. https://t.co/Ue2iW1iXaN,https://twitter.com/FikriHusein9/status/1264685043928055808,United States,1174799979304517632
Sun May 24 23:01:49 +0000 2020,"Iran's first oil tanker arrives in Venezuela waters, escorted by the military. 
We reported Iran is shifting strategy w/US to avoid war. Appears US is doing the same by not intercepting the ships.
 #نفتکش https://t.co/8LvCAkX9DG",https://twitter.com/farnazfassihi/status/1264693113139998721,"New York, NY",3048160253
Sun May 24 23:04:18 +0000 2020,"No one cares about him. He has no value in the eyes of the Shia regime. He is literally no one, but a tool used by Iran to kill the Sunni innocents. https://t.co/6EhEOUZOzg",https://twitter.com/Yakup_ekmn/status/1264693738829479938,"Istanbul, Turkey",2729959018
Sun May 24 23:53:41 +0000 2020,"Security forces deployed to #Molashiyeh #Ahwaz province south of #Iran after riots due go water shortage and police shooting at demonstrators. People in the area are arabic speaking/ mostly Sunnis, very deprived. https://t.co/K0BNuN9e8N",https://twitter.com/bai_mina/status/1264706166204047361,"Baltimore, Maryland",1071784494326263809
Sun May 24 22:59:03 +0000 2020,"This image was shared by the press office of Ali Khamenei, the Supreme leader of Iran. Interesting to see Assad way back (next to Mahmoud Abbas?) presumably not relevant anymore? Haniyeh to the front next to Nasrallah. https://t.co/YonLXkHL0f",https://twitter.com/Isa_Yusibov/status/1264692416465993736,Amsterdam,1359450264
Sun May 24 22:55:53 +0000 2020,"I wonder why Putin hasn't invaded any American allies recently?

Why hasn't North Korea denoted any nukes?

Why hasn't Iran waylaid and blindfolded any American sailors?

Why hasn't Assad used poison gas?

Why hasn't ISIS beheaded anyone?

This is why... https://t.co/U2k3O6TcHQ",https://twitter.com/realelybritt/status/1264691619762180097,NY US,757596279866290176
Sun May 24 23:09:52 +0000 2020,"IRAN: 42 YEARS IN PRISON FOR PROMOTING UNVEILING Three women have been charged with 'inciting prostitution' for not wearing veils and sentenced to 42 years in prison between them. Now, with COVID-19 cases confirmed in prisons across #Iran... #EidMubarak https://t.co/ggsBCsFez0 https://t.co/aC3R6znqRx",https://twitter.com/FouadBoussetta/status/1264695139592818689, H. P. Lovecraft's Kingsport🌊,272114850
Sun May 24 23:39:46 +0000 2020,"Freedom-seekers of the world, don't be afraid to stand up to the racist US government like Iran
#IranYVenezuela 
#GraciasIran
#Powerful_Iran https://t.co/5hNGs4Vq00",https://twitter.com/iranlion_64/status/1264702662316097536,Azerbaijan_Iran,1246548468946141184
Sun May 24 22:35:14 +0000 2020,#Iran: #ArashSadeghi serves 19 years in prison for his human rights activism. Today is his 1437th day in prison. He is very ill &amp; needs urgently our support. Please sign &amp; share the petition. Take action to #FreeArash #SaveArash #FreeIranPoliticalPrisoners https://t.co/2GVP2uDU7E https://t.co/PKeQvznmzg,https://twitter.com/CiLuna27/status/1264686422633652225,NJ,48074103
