,Unnamed: 0,url,orig_text,user_id_str,ulr,month,day,year,translated,country
0,6441.0,https://twitter.com/jilevin/status/991082633663836160,jill steins campaign objects senate request russia documents ,24733117.0,,Apr,30.0,2018.0,jill steins campaign objects senate request russia documents,russia
1,6447.0,https://twitter.com/VOANews/status/991085179270660097,paper plane protesters urge russia unblock telegram app  ,16273831.0,,Apr,30.0,2018.0,paper plane protesters urge russia unblock telegram app,russia
2,6450.0,https://twitter.com/InSpiteOfTrump/status/991075746176294912,jill steins campaign objects senate request russia documents ,7.975471999284224e+17,,Apr,30.0,2018.0,jill steins campaign objects senate request russia documents,russia
3,6455.0,https://twitter.com/felixsalmon/status/991082936870014977,til president france refers president russia vladimir poutine ,16399949.0,,Apr,30.0,2018.0,til president france refers president russia vladimir poutine,russia
4,6466.0,https://twitter.com/ANCALERTS/status/991099882529345536,protesters urge russia unblock telegram app ,44728980.0,,Apr,30.0,2018.0,protesters urge russia unblock telegram app,russia
5,6489.0,https://twitter.com/AV8intheblue/status/991091381186818048,minggao26 lauferlaw shouldntbelieve merussia best air defense systems planet,83952838.0,,Apr,30.0,2018.0,minggao26 lauferlaw shouldntbelieve merussia best air defense systems planet,russia
6,6490.0,https://twitter.com/CNNSitRoom/status/991087644179357698,presidential campaign 2016 green party candidate jill stein objects senate request russia documents jimsciutto reports  ,34310801.0,,Apr,30.0,2018.0,presidential campaign 2016 green party candidate jill stein objects senate request russia documents jimsciutto reports,russia
7,3753.0,https://twitter.com/kelly2277/status/1035672199343026177,convenient trumprudygiuliani clients trump russia dossiers massive oil deal grantstern ,16315143.0,,Aug,31.0,2018.0,convenient trumprudygiuliani clients trump russia dossiers massive oil deal grantstern,russia
8,3760.0,https://twitter.com/askrsb/status/1035673843636031488,russia nothing vaccine debate ,80741093.0,,Aug,31.0,2018.0,russia nothing vaccine debate,russia
9,3779.0,https://twitter.com/thehill/status/1035666806072066050,steele told justice dept official russia trump barrel report  ,1917731.0,,Aug,31.0,2018.0,steele told justice dept official russia trump barrel report,russia
10,3797.0,https://twitter.com/TheWarMonitor/status/1035664353108865025,leaving wide open russia intervene aka annex eastern ukraine,1952855342.0,,Aug,31.0,2018.0,leaving wide open russia intervene aka annex eastern ukraine,russia
11,3798.0,https://twitter.com/CREWcrew/status/1035656015553945600,looks like devin nunes still working hard undermine russia investigation,22187085.0,,Aug,31.0,2018.0,looks like devin nunes still working hard undermine russia investigation,russia
12,3832.0,https://twitter.com/bpolitics/status/1035658764354048002,russia end us space station rides april pressuring nasa ,564111558.0,,Aug,31.0,2018.0,russia end us space station rides april pressuring nasa,russia
13,8208.0,https://twitter.com/WJC_2023/status/1079875708514697216,rt canada like russia,2203449225.0,,Dec,31.0,2018.0,rt canada like russia,russia
14,8233.0,https://twitter.com/n8winsTTU/status/1079878056288882688,gop russia,118947630.0,,Dec,31.0,2018.0,gop russia,russia
15,8243.0,https://twitter.com/Snackwel/status/1079872020387528704,eric mullin gjacobs26 brithume davidcorndc trump many times said deals russia confused,544415987.0,,Dec,31.0,2018.0,eric mullin gjacobs26 brithume davidcorndc trump many times said deals russia confused,russia
16,8251.0,https://twitter.com/esquire/status/1079882695411490816,matter administration prisoner dispute russia legitimacy ,20455625.0,,Dec,31.0,2018.0,matter administration prisoner dispute russia legitimacy,russia
17,8262.0,https://twitter.com/Polyspike/status/1079888218365911040,realdonaldtrump good see underwater debt russia still,401620083.0,,Dec,31.0,2018.0,realdonaldtrump good see underwater debt russia still,russia
18,8269.0,https://twitter.com/DaShanneStokes/status/1079882413822697472,russia trump,610919499.0,,Dec,31.0,2018.0,russia trump,russia
19,8309.0,https://twitter.com/hanmariams/status/1079607523869683712,agent russian government maoist boys get tl ,718592022.0,,Dec,31.0,2018.0,agent russian government maoist boys get tl,russia
20,1650.0,https://twitter.com/SarybaevaMeerim/status/968998556739801088,kyrgyz celebrities youarenotalone alone russia armenia join support zerodiscriminationday unaids eeca ,3304295456.0,,Feb,28.0,2018.0,kyrgyz celebrities youarenotalone alone russia armenia join support zerodiscriminationday unaids eeca,russia
21,1660.0,https://twitter.com/HELL0HIBYE/status/968993384378654721,smokin backwoods went russia ygaddie keepgoin,7.263426137548759e+17,,Feb,28.0,2018.0,smokin backwoods went russia ygaddie keepgoin,russia
22,1671.0,https://twitter.com/TomthunkitsMind/status/968998852849209344,russian model thai jail promises spill trump russia secrets cnn ,289118612.0,,Feb,28.0,2018.0,russian model thai jail promises spill trump russia secrets cnn,russia
23,1785.0,https://twitter.com/tebogokhaas/status/968212734755123202,gibsonerika russian government jet spotted waterkloof afb russian ambassador david mahlobo vacating post ,354839986.0,,Feb,26.0,2018.0,gibsonerika russian government jet spotted waterkloof afb russian ambassador david mahlobo vacating post,russia
24,760.0,https://twitter.com/btswingz/status/958845664758321153,gonna fly russia kills ,7.55514432164393e+17,,Jan,31.0,2018.0,gonna fly russia kills,russia
25,3019.0,https://twitter.com/InvestigateRU/status/1024440927836753920,pence calls russia 2016 meddling backs unambiguous intel assessment ,3924002953.0,,Jul,31.0,2018.0,pence calls russia 2016 meddling backs unambiguous intel assessment,russia
