"full_text","user_id_str","created_at","url"
"Happy China's National Day🇨🇳
#国庆节 #国庆快乐 https://t.co/v65xCBukbs","1666026101892861953","Sat Sep 30 23:47:51 +0000 2023","https://twitter.com/sweetteaChina/status/1708267446375944527"
"China's former deputy central bank governor, Fan Yifei, charged with bribery: Xinhua report
On September 27, China's state news agency Xinhua reported that authorities had charged China's former deputy central bank governor, Fan Yifei, with bribery. https://t.co/OFeTsIHnen","1404012904496570409","Sat Sep 30 23:25:56 +0000 2023","https://twitter.com/spotlightoncn/status/1708261929196597757"
"China could pull the plug in many arenas.  Warmongers in Washington have no clue how vulnerable they have made the US.  

""TOKYO -- U.S. corn prices have slipped to their lowest levels in almost three years as China ramps up imports from Brazil, cutting into demand for American… https://t.co/kVNWnDn0bz","65484730","Sat Sep 30 23:56:45 +0000 2023","https://twitter.com/amborin/status/1708269683819065674"
"CLUSTER BOMBS ARE an abomination. U.S. SUPPLIES THEM TO UKRAINE   China slows drone shipments   What has this nation become under BIDEN THE WAR MONGER?  https://t.co/ntmMr9uzd8","66019768","Sat Sep 30 23:51:41 +0000 2023","https://twitter.com/ASavageNation/status/1708268409513996308"
"When it comes to China, the west simply doesn't understand what's coming. An illustrative thread:

The US graduates 500k STEM/yr, and China does 10x that at 4-5mil. However, total STEM workers is similar between the two at about 15mil. Understanding why provides insight into ...","4515887952","Sat Sep 30 23:55:14 +0000 2023","https://twitter.com/todistetta/status/1708269300656808262"
"Zhangye Danxia Geological Park is a stunning geological wonder located in the province of Gansu, China. It is renowned for its unique and vibrant rock formations, which display a magnificent array of colors, resembling a vivid palette of a painter’s masterpiece. https://t.co/io1LEIp65A","991575826364690432","Sat Sep 30 23:53:30 +0000 2023","https://twitter.com/thesilkroad/status/1708268865992737071"
"China already had emperors and dynasties before the coming of Jesus Christ! https://t.co/8NcBSNAksW","119011652","Sat Sep 30 23:47:35 +0000 2023","https://twitter.com/DrAbioye/status/1708267379044622337"
"🇨🇳 October 1st marks the 74th anniversary of the founding of the People's Republic of China. Happy National Day! 🎉 https://t.co/iHcB7VRztB","87775422","Sat Sep 30 23:49:01 +0000 2023","https://twitter.com/ChinaDaily/status/1708267736663806035"
"“Dear friend, please accept my heartfelt congratulations” : Putin’s message to Xi Jinping on the 74th anniversary of the founding of the People’s Republic of China

🇷🇺🇨🇳China is confidently moving along the path of development, strengthening its position on the world stage and… https://t.co/esJM3pHqKG","1336257308293292035","Sat Sep 30 23:24:13 +0000 2023","https://twitter.com/djuric_zlatko/status/1708261497728634935"
"red velvet 

BRICK WALL OF CHINA

everyone else","1614516931859517440","Sat Sep 30 23:31:09 +0000 2023","https://twitter.com/vmsbears/status/1708263240059261015"
"China's first gold in diving at the Hangzhou Asian Games! 🥇🇨🇳 Quan Hongchan and Chen Yuxi claim gold medals with their incredible skills! Netizens amazed by their ""copy-paste"" precision and ""disappearing splash"" magic! #AsianGamesinJinhua https://t.co/HqbMwRMtbA","1536306364695314434","Sat Sep 30 23:56:45 +0000 2023","https://twitter.com/LoveYiwu/status/1708269684011757767"
"“Dear friend, please accept my heartfelt congratulations” 

  -President Putin🇷🇺 to Xi Jinping🇨🇳 on the 74th anniversary of the founding of the People’s Republic of China

🇷🇺🇨🇳China is confidently moving along the path of development, strengthening its position on the world stage… https://t.co/PbzPNASzjL","65484730","Sat Sep 30 23:48:52 +0000 2023","https://twitter.com/amborin/status/1708267698780807598"
"October 1st marks the 74th anniversary of the founding of the People's Republic of China. Happy National Day!
#国庆 https://t.co/eSN9irYSCG","1522399757473353729","Sat Sep 30 23:51:09 +0000 2023","https://twitter.com/zhongrenfu1/status/1708268274281283991"
"Supposed ‘conservatives’ passed a bill that abandons Ukraine on the anniversary of the worst appeasement error in history (so far). They voted to guarantee the coming war with China. The voted to ensure Chinese dominance for the rest of the 21st Century.","1109489629","Sat Sep 30 23:55:03 +0000 2023","https://twitter.com/WitCoHE_Bak/status/1708269254825427043"
"Dogsoup contains beloved pet who had expensive surgery and then got stolen and sold at dogsoup restaurant in #China. 
For such a strong government you'd think they could get this dog stealing and animal abuse fixation fixed, unless the government WANTS a nation of robots with no…","791440926707253248","Sat Sep 30 23:54:48 +0000 2023","https://twitter.com/PhaedraXTeddy/status/1708269193940873511"
"CONGRATULATIONS, CHINA! DESERVED! STRONG JUNIOR TEAM!

#SuhadinataCup2023 https://t.co/TumK2b7D9W","292095170","Sat Sep 30 23:48:20 +0000 2023","https://twitter.com/ZonaBulutangkis/status/1708267567687856390"
"The Great Wall is a series of fortifications that were built across the northern borders of ancient Chinese states and Imperial China as protection against various nomadic groups from northern China.  It was listed as a World Heritage site in 1987 by UNESCO. https://t.co/sjqx6sgfIB","991575826364690432","Sat Sep 30 23:55:04 +0000 2023","https://twitter.com/thesilkroad/status/1708269260357963940"
